Category,Question,Answer,Tags
Course Content,When will the breast pathology recorded video be available?,The recorded video for breast pathology will be uploaded by tomorrow.,"Course Videos, Breast Pathology"
Course Content,There seems to be a glitch in the course site. Can it be fixed?,Thank you for letting us know. We will look into the glitch and update the content.,"Course Glitch, User Feedback"
Course Content,Is there a glitch in the MCQ section for stomach epithelial tumors?,"Yes, there was a glitch with repeated questions. It has been fixed, and 10 questions should now be working fine.","MCQ Glitch, Course Issue"
Course Content,Can I access the NEET SS recall paper through the course?,"Yes, the NEET SS recall papers will be shared via the course resources.","NEET SS, Exam Preparation"
Course Content,10. Do you provide content related to metastasis of unknown primary in FRCPATH part 1?,A separate session will be added in the FRCPATH part 1 course on metastasis of unknown primary in a few weeks.,"Course Content, Metastasis"
Course Content,11. Is there any content available for normal histology of the thymus in the course?,"Yes, I will share the link for normal histology of the thymus.","Course Content, Thymus"
Course Content,19. Do you have previous years' questions available in the FRCPATH part 1 Q-bank?,"Yes, we have previous years' questions, though they are not complete. I will share them with you soon.","Course Content, FRCPATH"
Course Content,Do you provide video lectures on specific topics or MCQ discussions?,We provide video lectures on both specific topics and MCQ discussions to enhance exam preparation.,"Course, FRCPath, Video Lectures"
Course Content,Is there a mock exam included in the course?,"Yes, mock exams are included in the FRCPath course to help you assess your knowledge and readiness for the actual exam.","Course, FRCPath, Mock Exams"
Course Content,Do you offer live lectures for FRCPath preparation?,"Yes, live lectures are included in the FRCPath course, conducted by FRCPath cleared pathologists working in the UK.","Course, FRCPath, Live Lectures"
Course Content,Will I receive study materials along with the course?,"Yes, you will receive comprehensive study materials, including notes, lectures, and mock exams, to help with exam preparation.","Course, FRCPath, Materials"
Course Content,Can I access the course after the exam?,"Access to the course may be available for a limited time after the exam, depending on the terms of your course subscription.","Course, FRCPath"
Course Content,"I'm only able to open practice tests, not notes.",Please make sure you’re clicking the green-labeled sections for notes.,#practice #notes
Course Content,What does the FRCPath Part 2 course include?,"It includes live lectures, short and long surgicals, cytology, frozen section, OSPE, macroscopy, molecular pathology, grand mocks, notes, and recordings.","FRCPath, comprehensive, modules"
Course Content,What all will I get in the Oncopathology course?,"The course includes lectures, chapter-wise mocks, short quizzes, flashcards for revision, and soft copy notes.",#coursecontent #lectures #flashcards
Course Content,Will practice cases be shared for the next Frozen section class?,"Yes, cases are generally shared before each practice session.","frozen section, practice, cases"
Course Content,Will cases be shared for molecular pathology classes?,"Molecular pathology classes are typically theory-based. If cases are shared, you will be notified in advance.","molecular, theory, cases"
Course Content,Will cases be shared for the upcoming unknown primary session?,"Yes, we usually share cases before the session. Updates will be communicated via WhatsApp.","unknown primary, cases, updates"
Course Content,Will renal pathology cases be uploaded?,"Yes, they are added to the course dashboard. You can access them directly from your course content.","renal pathology, cases, uploads"
Course Content,Is the mock exam available yet?,The mock exam will be uploaded shortly. You will be notified once it's live.,"mock, availability"
Course Content,How will I receive corrected scripts?,Corrected scripts will be shared within a few days after submission.,"script correction, feedback"
Course Content,Will I receive feedback on my submitted answers?,"Yes, feedback and remarks will be shared after evaluation.","evaluation, feedback"
Course Content,What if my submitted file gets corrupted?,Please resend your file. We'll ensure it is uploaded properly.,"upload issue, corrupted file"
Course Content,Are today's class details shared in advance?,"Yes, Zoom links and topics are shared a few hours before the session starts.","zoom, session, link"
Course Content,I can't find the Lung notes and MCQs in the FRCPATH 1 course.,"The Lung notes and MCQs are included under the Oral Cavity section, as the Thorax is part of that module.","content, course-structure"
Course Content,Do I need to study CAP protocols for the exam?,"No, you should stick to RCPath datasets as they align with TNM and are followed in NHS settings.","rcpath, exam-guidance"
Course Content,Is there a questionnaire on clinical governance?,Clinical governance topics are integrated into the mock tests. There is no separate questionnaire at the moment.,"clinical-governance, mock-tests"
Course Content,Are RCPath datasets still part of the course?,"Yes, they are. If you notice any missing datasets, please inform us and we’ll update them promptly.","rcpath, content-verification"
Course Content,Is the daily MCQ part included in my course?,"Yes, it’s included. You can also access previous daily MCQs from this link: [link]","daily mcq, course access"
Course Content,Why does it show ‘buy now’ on content I’ve already purchased?,This might be a technical error. Please try again or contact support if the issue persists.,"access issue, error"
Course Content,Are INI SS and NEET SS courses different?,"Yes, INI SS and NEET SS are different exams. INI SS focuses on specialities like neuro, histo, heme; NEET SS is more MD-level.","exam type, comparison"
Course Content,Does NEET SS Oncopath course include hematology?,"It includes basic hemato questions, but emphasis is on histopath and cytopath.","oncopath, hemato, neet ss"
Course Content,Are INI SS and NEET SS questions different?,INI SS questions are more in-depth and tougher. Practicing them will help you do better in NEET SS too.,"difficulty level, exam preparation"
Course Content,Will molecular pathology be a theoretical class or include cases?,Molecular pathology classes will primarily be theoretical. Any practical discussions will be announced.,"molecular, theory"
Course Content,Are FRCPath and NEET SS Oncopathology courses the same?,NEET SS includes hematology and general pathology in addition to histopathology. FRCPath focuses on histopath only.,"course comparison, frcpath, neet ss"
Course Content,What topics are covered in the NEET SS Oncopathology course?,"It includes Histopathology, Hematopathology, Cytology, Histotechniques, and General Pathology.","syllabus, neet ss"
Course Content,Are there notes and MCQs in the NEET SS course?,"Yes, the course includes notes, chapter-wise MCQs, and mock tests.","study material, mcqs, notes"
Course Content,Where can I find the mock test conducted on 10.11.2024?,The mock test is uploaded in two separate short mocks under your course dashboard.,"mock test, frcpath1"
Course Content,Neuropathology notes are not updated.,WHO 2021 and adult glioma content is available. Remaining notes are being updated soon.,"neuropath, update, notes"
Course Content,I need hematology and general pathology questions too.,Hematology is offered as a separate course. General pathology is included in the NEET SS subscription.,"hematology, general path, addon"
Course Content,What does the FRCPath Part 1 course include?,"The course includes comprehensive notes, chapter-wise MCQs, and mocks for FRCPath Part 1 Histopathology.","frcpath1, syllabus"
Course Content,Are video lectures available in NEET SS course?,"Yes, video lectures are now part of the NEET SS DM Oncopathology Course.","video lectures, neet ss"
Course Content,Are quizzes compulsory?,"Quizzes help you assess your understanding. Submitting blank quizzes may pause your account. For review mode, contact support.","quizzes, submission, assessment"
Course Content,Can I review answers without completing quizzes?,"Yes, we can enable review access for you. Please reach out if you prefer that mode.","quiz review, answer access"
Course Content,How do I access flashcards?,Flashcards are available under each course topic. Navigate through the labeled sections to find them.,"flashcards, navigation"
Course Content,How can I access printed notes?,Printed notes are not included. All study materials are available online within the course platform.,"notes, print material"
Course Content,Where can I find the lectures?,Lectures are labeled under each topic section. Please check the course content layout after logging in.,"lectures, course content"
Course Content,Is there any sample content available before purchase?,"Yes, sample materials including MCQs, flashcards, notes, and videos are available here.","sample, preview"
Course Content,Are quizzes and mocks available multiple times?,"Yes, you can attempt the quizzes and mocks multiple times for practice.","quiz, mock test"
Course Content,Where can I find the mock test answers?,Answers to mock tests are available under the Grand Mock section of the course.,"answer key, mock"
Course Content,Are online notes included in the course?,"Yes, the course includes access to online notes.","notes, inclusions, course features"
Course Content,Can I save the notes to read later?,"Yes, notes can be saved for offline reference, but download may be restricted.","notes, offline, save"
Course Content,I can't find my program.,There might be a temporary maintenance. Please check again after some time.,"program, access issue, maintenance"
Course Content & Access,Will I be able to access all the chapters immediately after purchasing the course?,"Yes, once purchased, you will have access to all the chapters of the course.","Course, Access"
Course Content & Access,How long will the course material be accessible?,"The course material will remain accessible for an extended period, even after the course ends.","Course, Access"
Course Content & Access,Is the approach-based course available in hard copy?,"No, the approach-based course is only available in digital format.","Course, Format"
Course Content & Access,Can I get a hard copy of the notes for the course?,"Yes, you can purchase the course along with hard copies of the notes.","Course, Notes"
Course Content & Access,Can I get a sample video for the approach-based course?,"Yes, sample videos are available for you to check out before purchasing the full course.","Course, Sample Video"
Course Content & Access,Are there virtual slides included in the approach-based course?,"Yes, virtual slides are included in the approach-based course for practical learning.","Course, Virtual Slides"
Course Content & Access,Is there a timeline for when new case studies will be added to the course?,"New case studies will be added continuously, with live sessions covering them as well.","Course, Updates"
Course Content & Access,Are there any additional cases in the approach-based course after the purchase?,"Yes, more cases will be added periodically, along with the relevant discussions.","Course, Cases"
Course Content & Access,Will the course be updated with new content over time?,"Yes, the course content will be updated regularly with new cases, slides, and videos.","Course, Updates"
Course Details,What topics are covered in the FRCPATH 2 course?,"The course covers surgical pathology, cytology, molecular, OSPE, and more.","Course Content, FRCPATH 2"
Course Duration,What is the duration of the FRCPATH part 1 package?,"The duration can be 6 months or 12 months, depending on your preference.","Course Duration, FRCPATH 1"
Course Duration,Can I get access to the course after the duration ends?,"Yes, you can continue to access the course for up to 3 months after the course duration ends.","Duration, Access"
Course Eligibility,Who is the NEET SS Oncopathology course for?,It's designed for postgraduate students and pathology aspirants preparing for NEET SS exams.,"eligibility, oncopathology"
Course Enrollment,2. Do I need to enroll for the entire course to access both links?,You can access both links in the NEET SS course without enrolling in the entire course.,"Enrollment, Course Access"
Course Enrollment,Is the FRCPATH 2 course open for enrollment now?,"Yes, it is open for enrollment.","FRCPATH 2, Enrollment"
Course Enrollment,How do I enroll for the FRCPATH 2 course?,You can enroll by making a payment via PayPal and sharing your email ID.,"Enrollment, FRCPATH 2"
Course Enrollment,Do you accept enrollments from international students?,"Yes, we accept enrollments from students worldwide.","International Students, Enrollment"
Course Enrollment,Do you have more recorded sessions that I can purchase?,"Yes, we offer comprehensive recorded programs. Let us know your exam timeline and we’ll guide you accordingly.","recorded sessions, purchase, programs"
Course Enrollment,Is the Ultimate FRCPath Part 2 Study Program suitable for Spring exam?,"It’s ideal for those appearing in Autumn 2025 or later. However, we can adjust access based on your exam date.","FRCPath part 2, course suitability"
Course Enrollment,Can I switch courses and get a refund?,"Yes, if you enroll in the full course, we will refund your previous payment for overlapping modules.","refund, course switch"
Course Enrollment,What is the cost of the full course?,Please refer to the course product page for the latest pricing.,"course fee, pricing"
Course Enrollment,Can I get a discount?,"Yes, use coupon code ""pathology60"". Additional adjustments may apply based on your case.","discount, coupon"
Course Extension,Can I extend my course duration?,"Yes, you can extend your course duration for an additional fee.","Course Extension, FRCPATH"
Course Feature,Are flashcards interactive?,"Yes, flashcards are designed to be interactive and can be used for revision under each topic.","flashcards, interactivity"
Course Features,Is the MCQ portion less in the DM Path course?,"The course includes 50+ topic-wise questions, 5 grand mocks, general path and hemepath mocks, and lecture notes.","dm path, mcqs"
Course Features,What’s included in the DM Path course?,"It includes detailed notes, lectures, topic-wise MCQs, grand mocks, and specialized mocks for general path and hemepath.","course features, dm path"
Course Features,Are video lectures available for the course?,"Yes, video lectures and live webinar recordings are available under the respective course topics.","video lectures, recordings"
Course Features,Can I view webinar recordings later?,"Yes, all recordings are available in your course module under the appropriate topics.","recordings, missed webinar"
Course Features,I want to see the answers directly without solving quizzes. Possible?,"Yes, we can enable review mode for you. However, please avoid submitting blank quizzes to prevent account restrictions.","quizzes, review mode"
Course Fee,What’s the price for the complete FRCPath Part 2 course?,"The course is priced at ?13,000 for a limited period.","course fee, pricing"
Course Feedback,29. How can I provide feedback on the classes and material?,"You can share your feedback directly, and it will be used to improve future course content and teaching methods.","Feedback, Course Quality"
Course Feedback,Can I give feedback on the course?,"Yes, please feel free to share your feedback anytime.","Feedback, Course Improvement"
Course Feedback,I found the lymphoma lectures very useful.,Thank you for your feedback. We're glad it helped. Let us know if you'd like more content on related topics.,"feedback, lymphoma lectures"
Course Flexibility,Can I access the course content at my own pace?,"Yes, the course content is available on-demand, allowing you to study at your own pace.","Flexibility, Course"
